TimeStamp,Barometer_2,Barmoeter_1,temp_2,temp_1,WindVane_2,WindVane_1,Anemo_2,Anemo_1
01:00.4,1040.922,1022.297,5.85925,6.83279,137.7109,277.0777,5.8212,6.0068
01:01.5,1040.983,1022.315,5.85925,6.84805,138.7656,278.8356,5.8212,5.915
01:02.5,1040.971,1022.297,5.8623,6.8511,140.1719,279.1871,5.7752,5.869
01:03.5,1040.983,1022.297,5.86535,6.8572,139.4688,279.8902,5.8672,5.915
01:04.5,1040.983,1022.297,5.8623,6.82363,140.875,279.1871,5.8672,5.8231
01:05.5,1040.971,1022.297,5.8623,6.8572,140.1719,279.5387,5.8212,5.9609
01:06.6,1040.983,1022.297,5.8562,6.83584,140.875,280.2418,5.9132,5.869
01:07.6,1040.983,1022.297,5.85925,6.83279,140.1719,280.2418,5.7752,5.869
01:08.6,1040.971,1022.315,5.8623,6.845,140.5234,279.1871,5.7292,5.8231
01:09.6,1040.983,1022.315,5.86535,6.82669,141.2266,280.2418,5.6832,5.7313
01:10.6,1040.983,1022.297,5.85314,6.84194,138.7656,278.8356,5.6372,5.6854
01:11.7,1040.971,1022.315,5.85314,6.85415,139.4688,277.7809,5.6372,5.6394
01:12.7,1040.971,1022.297,5.8623,6.83584,139.4688,279.1871,5.5912,5.5935
01:13.7,1040.971,1022.297,5.8562,6.82974,139.8203,280.2418,5.5912,5.6854
01:14.7,1040.983,1022.315,5.8562,6.84194,141.2266,278.484,5.6372,5.5935
01:15.7,1040.971,1022.297,5.85314,6.84194,139.8203,279.1871,5.5912,5.6854
01:16.7,1040.983,1022.297,5.85314,6.83584,139.1172,279.1871,5.6372,5.6854
01:17.8,1040.971,1022.297,5.85314,6.80837,138.0625,278.484,5.6372,5.6854
01:18.8,1040.983,1022.297,5.85314,6.83584,139.4688,277.0777,5.7292,5.6854
01:19.8,1040.983,1022.297,5.8562,6.84805,138.7656,278.8356,5.7292,5.6394
01:20.8,1040.983,1022.297,5.8562,6.83584,139.1172,278.1324,5.7292,5.6394
01:21.8,1040.983,1022.297,5.8562,6.81448,140.1719,279.5387,5.6372,5.5935
01:22.8,1040.983,1022.315,5.85314,6.83584,141.2266,278.8356,5.6832,5.7772
01:23.9,1040.971,1022.297,5.85314,6.82363,141.5781,280.2418,5.6372,5.8231
01:24.9,1040.983,1022.297,5.85314,6.82058,140.5234,280.9449,5.6832,5.7313
01:25.9,1040.983,1022.297,5.84704,6.82058,139.8203,278.484,5.7292,5.7772
01:26.9,1040.983,1022.279,5.85009,6.82058,140.5234,279.8902,5.7292,5.7772
01:27.9,1040.983,1022.315,5.84704,6.81448,139.1172,278.484,5.6832,5.7313
01:28.9,1040.983,1022.315,5.84704,6.82363,139.4688,279.8902,5.7752,5.6394
01:29.9,1040.983,1022.297,5.84094,6.83584,138.0625,277.4293,5.8672,5.8231
01:31.0,1040.983,1022.297,5.85009,6.81753,137.0078,277.7809,5.7292,5.7313
01:32.0,1040.971,1022.297,5.85314,6.82974,137.7109,276.0231,5.8672,5.8231
01:33.0,1040.971,1022.297,5.85314,6.82058,137.7109,276.7262,5.7752,5.869
01:34.0,1040.971,1022.297,5.85314,6.81753,137.3594,276.0231,5.7752,5.869
01:35.0,1040.971,1022.279,5.84704,6.81753,138.4141,278.484,5.7752,5.8231
01:36.0,1040.91,1022.279,5.85009,6.82669,138.7656,281.6481,5.6832,5.7313
01:37.1,1040.983,1022.279,5.85009,6.79617,140.5234,277.4293,5.7752,5.6854
01:38.1,1040.983,1022.279,5.84704,6.80532,140.1719,277.7809,5.6832,5.7772
01:39.1,1040.971,1022.297,5.84399,6.79922,136.6562,280.2418,5.6372,5.7772
01:40.1,1040.983,1022.297,5.84704,6.82058,137.0078,275.6715,5.6832,5.7313
01:41.1,1040.971,1022.315,5.84704,6.82363,136.6562,276.0231,5.5912,5.8231
01:42.1,1040.983,1022.279,5.84399,6.79006,137.0078,276.0231,5.5453,5.6854
01:43.1,1040.983,1022.297,5.84704,6.79617,136.3047,275.6715,5.5912,5.6394
01:44.2,1040.983,1022.315,5.84704,6.79312,136.6562,276.0231,5.5912,5.6394
01:45.2,1040.983,1022.279,5.84094,6.80837,137.0078,276.3746,5.5912,5.5935
01:46.2,1040.983,1022.297,5.83789,6.80837,136.3047,276.0231,5.5912,5.5017
01:47.2,1040.971,1022.297,5.84094,6.81448,136.3047,275.6715,5.5912,5.6394
01:48.3,1040.983,1022.297,5.84704,6.81143,137.0078,275.6715,5.6832,5.6854
01:49.3,1040.983,1022.297,5.84399,6.82974,137.0078,276.3746,5.7752,5.6854
01:50.3,1040.983,1022.297,5.84399,6.79617,139.4688,276.7262,5.8672,5.8231
01:51.3,1040.971,1022.297,5.84399,6.80227,139.8203,277.7809,5.8212,5.869
01:52.3,1041.032,1022.297,5.84399,6.79312,138.4141,278.1324,5.8212,5.915
01:53.3,1041.02,1022.297,5.84704,6.81143,140.5234,277.0777,5.9592,5.8231
01:54.3,1040.983,1022.297,5.83789,6.79922,141.5781,277.7809,5.9132,5.915
01:55.4,1040.971,1022.279,5.84399,6.78701,138.7656,276.3746,5.9592,5.915
01:56.4,1040.971,1022.279,5.84399,6.76565,139.1172,277.7809,5.9132,6.0527
01:57.4,1040.983,1022.297,5.84399,6.79617,135.25,277.4293,5.9132,5.915
01:58.4,1040.983,1022.297,5.83789,6.79006,138.4141,276.3746,6.0052,6.0527
01:59.4,1040.971,1022.279,5.84399,6.79006,136.3047,275.6715,6.0971,6.0068
